OBJECT_ID,YEAR,SAMPLE_DAT,LATITUDE,LONGITUDE,DEPTH,Count_,LOCATION,COUNT_CLASS
1620,2012,5-Nov-2012,26.42235,-82.08813,0.5,150000000,Shalimar Inn Beach,High
1619,2012,5-Nov-2012,26.42164,-82.08002,0.5,87500000,Tarpon Bay Beach,High
1342,2012,9-Oct-2012,26.76314,-82.34887,0.5,68420000,"Gasparilla Island, 5.1 miles SW of",High
1681,2012,7-Nov-2012,26.4796,-82.1466,0.5,67000000,"Power Lines, Pine Island Sound",High
2130,2013,9-Jan-2013,26.7525,-82.36401,0.5,63506600,"Gasparilla Island, 6.2 miles W of",High
1682,2012,7-Nov-2012,26.4216,-82.08,0.5,57500000,Tarpon Bay Beach,High
3491,2015,25-Nov-2015,27.3316,-82.5779,0.5,41900000, ,High
3396,2015,9-Nov-2015,27.77624,-82.77021,0.5,36120000,115th Avenue; S of (Isle of Palms),High
3255,2015,14-Oct-2015,27.17343,-82.52323,0.5,32560000,Osprey; 2.5 mi SW of,High
3245,2015,14-Oct-2015,27.17345,-82.52323,0.5,31980000,Osprey; 2.5mi SW of,High
979,2011,23-Nov-2011,26.386983,-81.99815,0.5,30448000,"Lover's Key State Park, 1.4 miles W of",High
1118,2011,17-Dec-2011,26.404167,-82.0644,0.5,23936000,"Algiers Beach, 1.45 miles SE of",High
946,2011,14-Oct-2011,26.599617,-82.37586,0.5,22275000,"North Captiva Island, 9.5 miles NW of",High
2881,2014,23-Jul-2014,28.661717,-83.30261,1,20265000,South Point; 38 mi W of,High
761,2009,1-Nov-2009,26.4096,-82.4402,0,20100000,Lee Co. 10,High
944,2011,14-Oct-2011,26.597617,-82.37278,0.5,18758000,"North Captiva Island, 9.2 miles NW of",High
1060,2011,7-Dec-2011,26.44288,-82.025054,0.5,17558300,Sanibel Beach,High
1159,2011,26-Dec-2011,26.41625,-81.99956,0.5,16991600,"Sanibel Island, 2.61 miles SE of",High
1340,2012,9-Oct-2012,26.7785,-82.35126,0.5,16490000,"Gasparilla Island, 5.2 miles W of",High
138,2007,25-Feb-2007,25,-82.666667,0.5,15500000,"Dry Tortugas Lt, 26 mi NE of",High
760,2009,1-Nov-2009,26.4024,-82.44,0,15250000,Lee Co. 9,High
